species,common_name,iucn_redlist_status,sensor_types,observation_count
Loxodonta cyclotis,African Forest Elephant,Critically Endangered,"Camera, eDNA",602
Gorilla gorilla,Western Gorilla,Critically Endangered,"Camera, eDNA",73
Pan troglodytes,Chimpanzee,Endangered,Camera,218
Psittacus erithacus,Grey Parrot,Endangered,"Bioacoustic, Camera, eDNA",6
Smutsia gigantea,Giant Ground Pangolin,Endangered,"Camera, eDNA",5
Stomatorhinus ivindoensis,Stomatorhinus ivindoensis,Endangered,eDNA,3
Parananochromis ornatus,Parananochromis ornatus,Endangered,eDNA,2
Oryctolagus cuniculus,European Rabbit,Endangered,eDNA,1
Cephalophus silvicultor,Yellow-backed Duiker,Near Threatened,"Camera, eDNA",424
Syncerus caffer,African Buffalo,Near Threatened,"Camera, eDNA",47
Aonyx capensis,African Clawless Otter,Near Threatened,eDNA,3
Cercopithecus nictitans,Putty-nosed Monkey,Near Threatened,Camera,3
Calidris canutus,Red Knot,Near Threatened,"Bioacoustic, Camera",2
Stephanoaetus coronatus,Crowned Eagle,Near Threatened,Camera,2
Casinycteris ophiodon,Casinycteris ophiodon,Near Threatened,eDNA,1
Hydrictis maculicollis,Spotted-necked Otter,Near Threatened,eDNA,1
Panthera pardus,Leopard,Vulnerable,"Camera, eDNA",35
Caracal aurata,African Golden Cat,Vulnerable,Camera,28
Paramormyrops gabonensis,Paramormyrops gabonensis,Vulnerable,eDNA,3
Parananochromis brevirostris,Parananochromis brevirostris,Vulnerable,eDNA,3
Lophocebus albigena,Grey-cheeked Mangabey,Vulnerable,Camera,2
Mandrillus sphinx,Mandrill,Vulnerable,"Camera, eDNA",2
Osteolaemus tetraspis,African Dwarf Crocodile,Vulnerable,eDNA,2
Chromidotilapia regani,Chromidotilapia regani,Vulnerable,eDNA,1
Grasseichthys gabonensis,Grasseichthys gabonensis,Vulnerable,eDNA,1
Paramormyrops hopkinsi,Paramormyrops hopkinsi,Vulnerable,eDNA,1
