species,common_name,iucn_redlist_status,sensor_types
Gorilla gorilla,Western Gorilla,Critically Endangered,"Camera, eDNA"
Loxodonta cyclotis,African Forest Elephant,Critically Endangered,"Camera, eDNA"
Enteromius condei,Enteromius condei,Data Deficient,eDNA
Oryctolagus cuniculus,European Rabbit,Endangered,eDNA
Pan troglodytes,Chimpanzee,Endangered,Camera
Parananochromis ornatus,Parananochromis ornatus,Endangered,eDNA
Psittacus erithacus,Grey Parrot,Endangered,"Bioacoustic, Camera, eDNA"
Smutsia gigantea,Giant Ground Pangolin,Endangered,"Camera, eDNA"
Stomatorhinus ivindoensis,Stomatorhinus ivindoensis,Endangered,eDNA
Acrocephalus scirpaceus,Common Reed-warbler,Least Concern,Bioacoustic
Agelastes niger,Black Guineafowl,Least Concern,Camera
Alestes macrophthalmus,Torpedo Robber,Least Concern,eDNA
Alethe castanea,Fire-crested Alethe,Least Concern,"Bioacoustic, Camera"
Alexteroon hypsiphonus,Alexteroon hypsiphonus,Least Concern,eDNA
Anomalurus derbianus,Lord Derby's Scaly-tailed Squirrel,Least Concern,eDNA
Apalis flavida,Yellow-breasted Apalis,Least Concern,Bioacoustic
Apalis rufogularis,Buff-throated Apalis,Least Concern,"Bioacoustic, Camera"
Apus apus,Common Swift,Least Concern,Bioacoustic
Apus caffer,White-rumped Swift,Least Concern,Camera
Arctocebus aureus,Golden Angwantibo,Least Concern,eDNA
Ardea alba,Great White Egret,Least Concern,Camera
Atherurus africanus,African Brush-tailed Porcupine,Least Concern,"Camera, eDNA"
Atilax paludinosus,Marsh Mongoose,Least Concern,"Camera, eDNA"
Baeopogon clamans,White-tailed Greenbul,Least Concern,"Bioacoustic, Camera"
Baeopogon indicator,Honeyguide Greenbul,Least Concern,"Bioacoustic, Camera"
Bathmocercus rufus,Black-faced Rufous-warbler,Least Concern,Bioacoustic
Batis molitor,Chinspot Batis,Least Concern,Bioacoustic
Bdeogale nigripes,Black-legged Mongoose,Least Concern,Camera
Bias musicus,Black-and-white Shrike-flycatcher,Least Concern,Camera
Bleda notatus,Yellow-lored Bristlebill,Least Concern,"Bioacoustic, Camera"
Bleda syndactylus,Red-tailed Bristlebill,Least Concern,"Bioacoustic, Camera"
Bostrychia hagedash,Hadada Ibis,Least Concern,Bioacoustic
Boulengeromyrus knoepffleri,Boulengeromyrus knoepffleri,Least Concern,eDNA
Brachypodius fuscoflavescens,Andaman Bulbul,Least Concern,Bioacoustic
Brycinus kingsleyae,Brycinus kingsleyae,Least Concern,eDNA
Brycinus opisthotaenia,Brycinus opisthotaenia,Least Concern,eDNA
Buccanodon duchaillui,Eastern Yellow-spotted Barbet,Least Concern,Bioacoustic
Burhinus capensis,Spotted Thick-knee,Least Concern,Camera
Butorides striata,Green-backed Heron,Least Concern,Bioacoustic
Bycanistes albotibialis,White-thighed Hornbill,Least Concern,"Bioacoustic, Camera"
Calidris alba,Sanderling,Least Concern,Camera
Calyptocichla serinus,Golden Greenbul,Least Concern,Camera
